DATE,CUUR0000SA0R
1982-12-01,102.400
1983-01-01,102.100
1983-02-01,102.100
1983-03-01,102.100
1983-04-01,101.200
1983-05-01,100.900
1983-06-01,100.300
1983-07-01,100.000
1983-08-01,99.700
1983-09-01,99.100
1983-10-01,98.800
1983-11-01,98.800
1983-12-01,98.500
1984-01-01,98.200
1984-02-01,97.600
1984-03-01,97.300
1984-04-01,97.000
1984-05-01,96.700
1984-06-01,96.400
1984-07-01,96.100
1984-08-01,95.500
1984-09-01,95.200
1984-10-01,94.900
1984-11-01,94.900
1984-12-01,94.900
1985-01-01,94.600
1985-02-01,94.300
1985-03-01,94.000
1985-04-01,93.400
1985-05-01,93.100
1985-06-01,92.800
1985-07-01,92.800
1985-08-01,92.500
1985-09-01,92.200
1985-10-01,91.900
1985-11-01,91.600
1985-12-01,91.300
1986-01-01,91.300
1986-02-01,91.300
1986-03-01,91.900
1986-04-01,91.900
1986-05-01,91.600
1986-06-01,91.300
1986-07-01,91.300
1986-08-01,91.000
1986-09-01,90.700
1986-10-01,90.700
1986-11-01,90.400
1986-12-01,90.400
1987-01-01,89.900
1987-02-01,89.500
1987-03-01,89.100
1987-04-01,88.600
1987-05-01,88.400
1987-06-01,88.000
1987-07-01,87.800
1987-08-01,87.300
1987-09-01,86.900
1987-10-01,86.700
1987-11-01,86.500
1987-12-01,86.600
1988-01-01,86.400
1988-02-01,86.200
1988-03-01,85.800
1988-04-01,85.400
1988-05-01,85.100
1988-06-01,84.700
1988-07-01,84.400
1988-08-01,84.000
1988-09-01,83.500
1988-10-01,83.200
1988-11-01,83.100
1988-12-01,83.000
1989-01-01,82.600
1989-02-01,82.300
1989-03-01,81.800
1989-04-01,81.200
1989-05-01,80.800
1989-06-01,80.600
1989-07-01,80.400
1989-08-01,80.300
1989-09-01,80.000
1989-10-01,79.600
1989-11-01,79.500
1989-12-01,79.300
1990-01-01,78.500
1990-02-01,78.200
1990-03-01,77.700
1990-04-01,77.600
1990-05-01,77.400
1990-06-01,77.000
1990-07-01,76.700
1990-08-01,76.000
1990-09-01,75.400
1990-10-01,74.900
1990-11-01,74.800
1990-12-01,74.700
1991-01-01,74.300
1991-02-01,74.200
1991-03-01,74.100
1991-04-01,73.900
1991-05-01,73.700
1991-06-01,73.500
1991-07-01,73.400
1991-08-01,73.200
1991-09-01,72.900
1991-10-01,72.800
1991-11-01,72.600
1991-12-01,72.500
1992-01-01,72.400
1992-02-01,72.200
1992-03-01,71.800
1992-04-01,71.700
1992-05-01,71.600
1992-06-01,71.300
1992-07-01,71.200
1992-08-01,71.000
1992-09-01,70.800
1992-10-01,70.500
1992-11-01,70.400
1992-12-01,70.500
1993-01-01,70.100
1993-02-01,69.900
1993-03-01,69.700
1993-04-01,69.500
1993-05-01,69.300
1993-06-01,69.300
1993-07-01,69.200
1993-08-01,69.000
1993-09-01,68.900
1993-10-01,68.600
1993-11-01,68.600
1993-12-01,68.600
1994-01-01,68.400
1994-02-01,68.200
1994-03-01,67.900
1994-04-01,67.900
1994-05-01,67.800
1994-06-01,67.600
1994-07-01,67.400
1994-08-01,67.100
1994-09-01,66.900
1994-10-01,66.900
1994-11-01,66.800
1994-12-01,66.800
1995-01-01,66.500
1995-02-01,66.300
1995-03-01,66.000
1995-04-01,65.800
1995-05-01,65.700
1995-06-01,65.600
1995-07-01,65.600
1995-08-01,65.400
1995-09-01,65.300
1995-10-01,65.100
1995-11-01,65.100
1995-12-01,65.100
1996-01-01,64.800
1996-02-01,64.500
1996-03-01,64.200
1996-04-01,64.000
1996-05-01,63.900
1996-06-01,63.800
1996-07-01,63.700
1996-08-01,63.600
1996-09-01,63.400
1996-10-01,63.200
1996-11-01,63.100
1996-12-01,63.100
1997-01-01,62.800
1997-02-01,62.600
1997-03-01,62.500
1997-04-01,62.400
1997-05-01,62.500
1997-06-01,62.400
1997-07-01,62.300
1997-08-01,62.200
1997-09-01,62.000
1997-10-01,61.900
1997-11-01,61.900
1997-12-01,62.000
1998-01-01,61.900
1998-02-01,61.800
1998-03-01,61.700
1998-04-01,61.500
1998-05-01,61.400
1998-06-01,61.400
1998-07-01,61.300
1998-08-01,61.200
1998-09-01,61.100
1998-10-01,61.000
